title,company-name,location,type,salary_package,company_requirements
Office Assistant,TalentFuturesServices,"Daryaganj, Delhi, Delhi",,,"We are looking for an Executive Assistant to perform a variety of tasks and support our company’s senior-level*.
Office Assistant: 2 years (Required)."
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",Contractual / Temporary ,,"COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
Intern,ExcelR Solutions,"Bengaluru, Karnataka",,"₹22,000 - ₹38,000","Coordinating in top management of Colleges PAN India for collaboration and inhouse event execution.
Data handling on Google Drive and google sheets."
Godown keeper,Sarda Group,"Akola, Maharashtra",,"₹10,000 - ₹15,000","Maintain an automated supply inventory database..
*Ensure the reception, storage, dispatch and daily management of the stock of products marketed by the…"
"Mathematics Teacher(11,12th)",Junior Robo Innovations,Remote,Contractual / Temporary ,,"2 years of teaching experience.
Good hold on the subject.
Availability of digital tablet and pen.
Note:* Digital Pen & Tablet is must for this role."
Associate Executive,Futops Technologies India,"Pimpri-Chinchwad, Maharashtra",,"₹22,000 - ₹38,000","They follow sales leads and open up new avenues for the business to target and focus on customer relationship management.
Job Types: Full-time, Fresher."
Customer Onboarding & Support Executive,eZee Technosys Pvt. Ltd.,"Majura Gate, Surat, Gujarat",Full-time ,,"Maintain policies and procedures when working with clients and provide appropriate information.
Be able to understand the nature of client issues and resolve…"
Intern,ExcelR Solutions,"Bengaluru, Karnataka",,"₹20,000 - ₹30,000","Coordinating in top management of Colleges PAN India for collaboration and inhouse event execution.
Data handling on Google Drive and google sheets."
MIS Executive in Greater Noida,INMARK EXPORTS PVT LTD,"Greater Noida, Uttar Pradesh",Full-time,,"Plan & prepare Material production schedule based on work order & customer delivery date and available/ expected resources.
Total work: 2 years (Preferred)."
Question set preparation,Svadhyay Educare,Remote in India,,,"The question paper can be submitted electronically types in MS word or hand-written on paper.
500 per chapter (varies depending on the mode of submission and…"
Healthcare executive,Pfizer,"Remote in Mumbai, Maharashtra",,"₹20,000 - ₹30,000",Healthcare executive Work Location Assignment: Remote - Field Based Pfizer is an equal opportunity employer and complies with all applicable equal…
BDM-US Sales-Medical Billing,Kimoha Technologies Pvt Ltd,Remote,Full-time,,"Engage with prospects to understand their needs, address inquiries, and provide relevant information about our services.
Work experience: 4+ years (relevant)."
Executive Assistant to CEO,Idecution Marketing Studio LLP,"Remote in Mumbai, Maharashtra",,,"Official working hours from 9:30 AM to 7 PM.
Following up on calls/emails with business associates, clients and other team members."
Customer Service Officer,MySyara,Remote,Full-time,,"As a Customer Service Agent, you will be the primary point of contact for our customers, responsible for managing inquiries, scheduling appointments, and…"
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹50,000 - ₹1,00,000","COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
E-Commerce Executive,Stratefix Consulting,"Surat, Gujarat",,"₹20,000 - ₹25,000","Address and resolve customer queries or issues raised on Amazon, including reviews and feedback.
Oversee product listings, optimization, and content updates for…"
Overseas Education Counselor,Connect Digitech,Remote,Full-time,,"Knowledge of higher education systems and academic regulations, particularly for USA/Canada.
Stay informed about the admission requirements, application…"
Godown keeper,Sarda Group,"Akola, Maharashtra",,,"Maintain an automated supply inventory database..
*Ensure the reception, storage, dispatch and daily management of the stock of products marketed by the…"
"Mathematics Teacher(11,12th)",Junior Robo Innovations,Remote,,"₹10,000 - ₹15,000","2 years of teaching experience.
Good hold on the subject.
Availability of digital tablet and pen.
Note:* Digital Pen & Tablet is must for this role."
Associate Executive,Futops Technologies India,"Pimpri-Chinchwad, Maharashtra",Contractual / Temporary ,,"They follow sales leads and open up new avenues for the business to target and focus on customer relationship management.
Job Types: Full-time, Fresher."
Customer Onboarding & Support Executive,eZee Technosys Pvt. Ltd.,"Majura Gate, Surat, Gujarat",,"₹22,000 - ₹38,000","Maintain policies and procedures when working with clients and provide appropriate information.
Be able to understand the nature of client issues and resolve…"
Office Assistant,TalentFuturesServices,"Daryaganj, Delhi, Delhi",Full-time ,,"We are looking for an Executive Assistant to perform a variety of tasks and support our company’s senior-level*.
Office Assistant: 2 years (Required)."
Intern,ExcelR Solutions,"Bengaluru, Karnataka",,,"Coordinating in top management of Colleges PAN India for collaboration and inhouse event execution.
Data handling on Google Drive and google sheets."
MIS Executive in Greater Noida,INMARK EXPORTS PVT LTD,"Greater Noida, Uttar Pradesh",,"₹20,000 - ₹30,000","Plan & prepare Material production schedule based on work order & customer delivery date and available/ expected resources.
Total work: 2 years (Preferred)."
Question set preparation,Svadhyay Educare,Remote in India,Full-time,,"The question paper can be submitted electronically types in MS word or hand-written on paper.
500 per chapter (varies depending on the mode of submission and…"
BDM-US Sales-Medical Billing,Kimoha Technologies Pvt Ltd,Remote,,"₹20,000 - ₹30,000","Engage with prospects to understand their needs, address inquiries, and provide relevant information about our services.
Work experience: 4+ years (relevant)."
Executive Assistant to CEO,Idecution Marketing Studio LLP,"Remote in Mumbai, Maharashtra",Full-time,,"Official working hours from 9:30 AM to 7 PM.
Following up on calls/emails with business associates, clients and other team members."
Overseas Education Counselor,Connect Digitech,Remote,,"₹10,000 - ₹15,000","Knowledge of higher education systems and academic regulations, particularly for USA/Canada.
Stay informed about the admission requirements, application…"
Godown keeper,Sarda Group,"Akola, Maharashtra",Contractual / Temporary ,,"Maintain an automated supply inventory database..
*Ensure the reception, storage, dispatch and daily management of the stock of products marketed by the…"
"Mathematics Teacher(11,12th)",Junior Robo Innovations,Remote,,"₹22,000 - ₹38,000","2 years of teaching experience.
Good hold on the subject.
Availability of digital tablet and pen.
Note:* Digital Pen & Tablet is must for this role."
Associate Executive,Futops Technologies India,"Pimpri-Chinchwad, Maharashtra",Full-time ,,"They follow sales leads and open up new avenues for the business to target and focus on customer relationship management.
Job Types: Full-time, Fresher."
Customer Onboarding & Support Executive,eZee Technosys Pvt. Ltd.,"Majura Gate, Surat, Gujarat",,,"Maintain policies and procedures when working with clients and provide appropriate information.
Be able to understand the nature of client issues and resolve…"
Office Assistant,TalentFuturesServices,"Daryaganj, Delhi, Delhi",,"₹20,000 - ₹30,000","We are looking for an Executive Assistant to perform a variety of tasks and support our company’s senior-level*.
Office Assistant: 2 years (Required)."
MIS Executive in Greater Noida,INMARK EXPORTS PVT LTD,"Greater Noida, Uttar Pradesh",,,"Plan & prepare Material production schedule based on work order & customer delivery date and available/ expected resources.
Total work: 2 years (Preferred)."
Question set preparation,Svadhyay Educare,Remote in India,,"₹20,000 - ₹30,000","The question paper can be submitted electronically types in MS word or hand-written on paper.
500 per chapter (varies depending on the mode of submission and…"
BDM-US Sales-Medical Billing,Kimoha Technologies Pvt Ltd,Remote,,,"Engage with prospects to understand their needs, address inquiries, and provide relevant information about our services.
Work experience: 4+ years (relevant)."
E-Commerce Executive,Stratefix Consulting,"Surat, Gujarat",,"₹25,000 - ₹40,000","Address and resolve customer queries or issues raised on Amazon, including reviews and feedback.
Oversee product listings, optimization, and content updates for…"
Overseas Education Counselor,Connect Digitech,Remote,Permanent,,"Knowledge of higher education systems and academic regulations, particularly for USA/Canada.
Stay informed about the admission requirements, application…"
"Mathematics Teacher(11,12th)",Junior Robo Innovations,Remote,,"₹30,000 - ₹35,000","2 years of teaching experience.
Good hold on the subject.
Availability of digital tablet and pen.
Note:* Digital Pen & Tablet is must for this role."
Office Assistant,TalentFuturesServices,"Daryaganj, Delhi, Delhi",,"₹20,000 - ₹25,000","We are looking for an Executive Assistant to perform a variety of tasks and support our company’s senior-level*.
Office Assistant: 2 years (Required)."
Question set preparation,Svadhyay Educare,Remote in India,,"₹22,000 - ₹38,000","The question paper can be submitted electronically types in MS word or hand-written on paper.
500 per chapter (varies depending on the mode of submission and…"
Speech and Drama Teacher,Helen O'Grady International,"Chembur, Mumbai, Maharashtra",,"₹50,000 - ₹1,00,000",*Have an energetic and positive attitude to travel to schools and institutions where the company conducts its classes around Mumbai.
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",,"₹50,000 - ₹1,00,000",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
Customer Service Officer,MySyara,Remote,,,"As a Customer Service Agent, you will be the primary point of contact for our customers, responsible for managing inquiries, scheduling appointments, and…"
"Mechanical Maintenance Supervisor (Vadodara,Gujarat)",Bharat Corrub Industries LLP,"Vadodara, Gujarat",,"₹50,000 - ₹1,00,000","Rubber industry: 3 years (Preferred).
*Preferable to have worked in Rubber industry*.
Taking care of the entire maintenance department."
Field Executive,Vak Reports,"Remote in Ahmedabad, Gujarat",Full-time,,"Job Types: Full-time, Fresher."
E-Commerce Executive,Stratefix Consulting,"Surat, Gujarat",Full-time ,,"Address and resolve customer queries or issues raised on Amazon, including reviews and feedback.
Oversee product listings, optimization, and content updates for…"
Godown keeper,Sarda Group,"Akola, Maharashtra",,"₹20,000 - ₹25,000","Maintain an automated supply inventory database..
*Ensure the reception, storage, dispatch and daily management of the stock of products marketed by the…"
"Mathematics Teacher(11,12th)",Junior Robo Innovations,Remote,Full-time,,"2 years of teaching experience.
Good hold on the subject.
Availability of digital tablet and pen.
Note:* Digital Pen & Tablet is must for this role."
Customer Onboarding & Support Executive,eZee Technosys Pvt. Ltd.,"Majura Gate, Surat, Gujarat",,"₹10,000 - ₹15,000","Maintain policies and procedures when working with clients and provide appropriate information.
Be able to understand the nature of client issues and resolve…"
Office Assistant,TalentFuturesServices,"Daryaganj, Delhi, Delhi",Contractual / Temporary ,,"We are looking for an Executive Assistant to perform a variety of tasks and support our company’s senior-level*.
Office Assistant: 2 years (Required)."
MIS Executive in Greater Noida,INMARK EXPORTS PVT LTD,"Greater Noida, Uttar Pradesh",Full-time ,,"Plan & prepare Material production schedule based on work order & customer delivery date and available/ expected resources.
Total work: 2 years (Preferred)."
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",,"₹20,000 - ₹30,000",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
Intern,ExcelR Solutions,"Bengaluru, Karnataka",,"₹10,000 - ₹15,000","Coordinating in top management of Colleges PAN India for collaboration and inhouse event execution.
Data handling on Google Drive and google sheets."
MIS Executive in Greater Noida,INMARK EXPORTS PVT LTD,"Greater Noida, Uttar Pradesh",Contractual / Temporary ,,"Plan & prepare Material production schedule based on work order & customer delivery date and available/ expected resources.
Total work: 2 years (Preferred)."
Godown keeper,Sarda Group,"Akola, Maharashtra",,"₹10,000 - ₹15,000","Maintain an automated supply inventory database..
Pay: ₹15,000.00 - ₹20,000.00 per month.
We are hiring for Godownkeeper @ Borgaon, Akola Location*."
"Mathematics Teacher(11,12th)",Junior Robo Innovations,Remote,Contractual / Temporary ,,"Please don't apply if you don't have digital pen & tablet.
Pay: ₹10,000.00 - ₹15,000.00 per month.
2 years of teaching experience.
Good hold on the subject."
Associate Executive,Futops Technologies India,"Pimpri-Chinchwad, Maharashtra",,"₹22,000 - ₹38,000","An associate business manager is an individual who supervises a team of employees and works with the business manager in managing staffing, staff hours, job…"
Customer Onboarding & Support Executive,eZee Technosys Pvt. Ltd.,"Majura Gate, Surat, Gujarat",Full-time ,,"Maintain policies and procedures when working with clients and provide appropriate information.
Pay: ₹20,000.00 - ₹30,000.00 per month."
Office Assistant,TalentFuturesServices,"Daryaganj, Delhi, Delhi",,,"We are looking for an Executive Assistant to perform a variety of tasks and support our company’s senior-level*.
Pay: ₹20,000.00 - ₹30,000.00 per month."
Intern,ExcelR Solutions,"Bengaluru, Karnataka",,"₹20,000 - ₹30,000","Internship Duration: 3 - 6 months.
Coordinating in top management of Colleges PAN India for collaboration and inhouse event execution."
Question set preparation,Svadhyay Educare,Remote in India,,,"Work from home - candidates are not expected to report to a location.
Svadhyay Educare is hiring remote teachers whose primary responsibility will be to create…"
Healthcare executive,Pfizer,"Remote in Mumbai, Maharashtra",,"₹20,000 - ₹30,000",Pfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates.
Speech and Drama Teacher,Helen O'Grady International,"Chembur, Mumbai, Maharashtra",,"₹50,000 - ₹1,00,000","It is an innovative educational program with a strong emphasis on the care of all its students.
*Have an energetic and positive attitude to travel to schools…"
Field Executive,Vak Reports,"Remote in Ahmedabad, Gujarat",,"₹50,000 - ₹1,00,000","Job Types: Full-time, Fresher."
Machine Maintenance Mechanic with 10 to 15 years Experience for Madurai,Padmashri Brush World Kappalur Madurai,"Madurai, Tamil Nadu",,"₹18,000","We are looking for Machine Maintenance Staff with 10 to 15 years experience.
Experience with machinery, pneumatic systems and simple electrical knowledge…"
E-Commerce Executive,Stratefix Consulting,"Surat, Gujarat",,"₹20,000 - ₹25,000","Pay: ₹20,000.00 - ₹25,000.00 per month.
Address and resolve customer queries or issues raised on Amazon, including reviews and feedback."
Godown keeper,Sarda Group,"Akola, Maharashtra",,,"Maintain an automated supply inventory database..
Pay: ₹15,000.00 - ₹20,000.00 per month.
We are hiring for Godownkeeper @ Borgaon, Akola Location*."
"Mathematics Teacher(11,12th)",Junior Robo Innovations,Remote,,"₹10,000 - ₹15,000","Please don't apply if you don't have digital pen & tablet.
Pay: ₹10,000.00 - ₹15,000.00 per month.
2 years of teaching experience.
Good hold on the subject."
Associate Executive,Futops Technologies India,"Pimpri-Chinchwad, Maharashtra",Contractual / Temporary ,,"An associate business manager is an individual who supervises a team of employees and works with the business manager in managing staffing, staff hours, job…"
Customer Onboarding & Support Executive,eZee Technosys Pvt. Ltd.,"Majura Gate, Surat, Gujarat",,"₹22,000 - ₹38,000","Maintain policies and procedures when working with clients and provide appropriate information.
Pay: ₹20,000.00 - ₹30,000.00 per month."
Office Assistant,TalentFuturesServices,"Daryaganj, Delhi, Delhi",Full-time ,,"We are looking for an Executive Assistant to perform a variety of tasks and support our company’s senior-level*.
Pay: ₹20,000.00 - ₹30,000.00 per month."
Intern,ExcelR Solutions,"Bengaluru, Karnataka",,,"Internship Duration: 3 - 6 months.
Coordinating in top management of Colleges PAN India for collaboration and inhouse event execution."
Question set preparation,Svadhyay Educare,Remote in India,Full-time,,"Work from home - candidates are not expected to report to a location.
Svadhyay Educare is hiring remote teachers whose primary responsibility will be to create…"
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹20,000 - ₹30,000","COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
Field Executive,Vak Reports,"Remote in Ahmedabad, Gujarat",,,"Job Types: Full-time, Fresher."
Executive Assistant to CEO,Idecution Marketing Studio LLP,"Remote in Mumbai, Maharashtra",Full-time,,"Are you comfortable with remote working?
Will you be able to use your laptop for work?
Pay: ₹18,000.00 per month.
Official working hours from 9:30 AM to 7 PM."
Customer Onboarding & Support Executive,eZee Technosys Pvt. Ltd.,"Majura Gate, Surat, Gujarat",,"₹20,000 - ₹30,000","Maintain policies and procedures when working with clients and provide appropriate information.
Be able to understand the nature of client issues and resolve…"
Office Assistant,TalentFuturesServices,"Daryaganj, Delhi, Delhi",Full-time,,"We are looking for an Executive Assistant to perform a variety of tasks and support our company’s senior-level*.
Office Assistant: 2 years (Required)."
Executive Assistant to CEO,Idecution Marketing Studio LLP,"Remote in Mumbai, Maharashtra",,"₹50,000 - ₹1,00,000","Official working hours from 9:30 AM to 7 PM.
Following up on calls/emails with business associates, clients and other team members."
Customer Service Officer,SAGAR SOLUTION,"Bhopal, Madhya Pradesh",,"₹18,000","Customer service: 1 year (Required).
Qualification: *Any Graduate with 1 year experience*.
Candidate should be fluent in Hindi and English (Versant Level 4)."
IT Sales,Sone India Group of Industries | Entertainment &...,"Remote in Jaipur, Rajasthan",Full-time ,,"Present company solutions, demonstrating client benefits.
. * Stay updated on industry trends affecting search engine marketing companies."
Machine Maintenance Mechanic with 10 to 15 years Experience for Madurai,Padmashri Brush World Kappalur Madurai,"Madurai, Tamil Nadu",,"₹20,000 - ₹25,000","We are looking for Machine Maintenance Staff with 10 to 15 years experience.
Experience with machinery, pneumatic systems and simple electrical knowledge…"
Customer Service Officer,SAGAR SOLUTION,"Bhopal, Madhya Pradesh",Full-time,,"Customer service: 1 year (Required).
Qualification: *Any Graduate with 1 year experience*.
Candidate should be fluent in Hindi and English (Versant Level 4)."
Executive Assistant to CEO,Idecution Marketing Studio LLP,"Remote in Mumbai, Maharashtra",,,"Are you comfortable with remote working?
Will you be able to use your laptop for work?
Pay: ₹18,000.00 per month.
Official working hours from 9:30 AM to 7 PM."
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹50,000 - ₹1,00,000","Pay: ₹10,000.00 - ₹30,000.00 per month.
HERE IS AN URGENT REQUIREMENT FOR GRAPHIC DESIGNER IN REPUTED PHARMA IN MOHALI LOCATION."
Machine Maintenance Mechanic with 10 to 15 years Experience for Madurai,Padmashri Brush World Kappalur Madurai,"Madurai, Tamil Nadu",,"₹18,000","Do you have experience in pneumatic systems and simple electrical systems?
Pay: ₹18,000.00 - ₹20,000.00 per month.
Knowledge in PLC is a plus."
Digital Marketing Intern,Rajkamal Barscan Systems Pvt Ltd,Remote,,"₹20,000 - ₹30,000","For a candidate, who is well versed with skills, stipend range won't be an issue, we would gladly pay them on higher side of the scale."
Godown Incharge,Shri Anandeshwari Home Pvt. Ltd.,"Bijapur, Karnataka",,"From ₹15,000","Coordination with Sales & Logistics to ensure timely delivery of Cement.
Daily Reports in Excel Sheet.
Depots Visits as per Visit Plan shared by Head Office."
MEP Storekeeper,Pieco India Engg. co. pvt ltd.,"Vrindavan, Uttar Pradesh",Full-time ,,"Implement and maintain an effective material tracking and categorization system.
Ensure that all materials are stored in compliance with safety regulations and…"
E-commerce Associate,Wellversed,"Gurugram, Haryana",,,"Monitor and evaluate implemented solutions to measure their impact and identify areas for further improvement.
Build strong relationships with key stakeholders."
Virtual Assistant,Tasks Expert Virtual Employee Services Pvt. Ltd,"Remote in Kalyan, Maharashtra",,"₹22,000 - ₹27,000","Manage day-to-day office operations and procedures.
Schedule meetings, appointments, and travel arrangements for senior management."
Field Information Officer,Centre for Monitoring Indian Economy Pvt. Ltd,"Gangtok, Sikkim",Full-time,,"Educational qualification- Any graduate or Post Graduate with minimum 3-4 years of survey experience.
Job Responsibility- The candidates will Responsible for…"
Home tuitions,Yukti Home Tutors,"Indore, Madhya Pradesh",,"₹2,40,000 - ₹6,00,000","Must have a graduation degree.
We also offer test preparation services, especially to 10th & 12th students, so you must be able to work with older student on…"
Data Science AI-Intern,AS Global Soft Tech,"Kavundampalayam, Coimbatore, Tamil Nadu",Full-time,,"Job Types: Full-time, Fresher, Internship.
Total work: 1 year (Preferred)."
Business Administrator,Thermo Logic Asia Trading Private Limited,"Vasai, Maharashtra",,"₹8,988.69 - ₹15,200.09","Provides high-level administrative support to an assigned executive or director-level employee.
Prolonged periods sitting at a desk and working on a computer."
Data Analytics Fresher,RP2,"Kochi, Kerala",,"From ₹15,000","Mentorship and training from industry experts.
Work Schedule: Monday to Friday, Day shift.
Assist in the design and development of data models and dashboards."
Godown Incharge,Shri Anandeshwari Home Pvt. Ltd.,"Bijapur, Karnataka",Full-time ,,"Coordination with Sales & Logistics to ensure timely delivery of Cement.
Daily Reports in Excel Sheet.
Depots Visits as per Visit Plan shared by Head Office."
E-commerce Associate,Wellversed,"Gurugram, Haryana",,"₹22,000 - ₹27,000","Monitor and evaluate implemented solutions to measure their impact and identify areas for further improvement.
Build strong relationships with key stakeholders."
Field Information Officer,Centre for Monitoring Indian Economy Pvt. Ltd,"Gangtok, Sikkim",,,"Educational qualification- Any graduate or Post Graduate with minimum 3-4 years of survey experience.
Job Responsibility- The candidates will Responsible for…"
Customer Support Representative,AeronFly International Private Limited,"Pali, Rajasthan",,"₹2,40,000 - ₹6,00,000","Resolve customer issues by clarifying the customer's complaint, determining the cause of the problem, and selecting the best solution."
Home tuitions,Yukti Home Tutors,"Indore, Madhya Pradesh",Full-time,,"Must have a graduation degree.
We also offer test preparation services, especially to 10th & 12th students, so you must be able to work with older student on…"
Data Science AI-Intern,AS Global Soft Tech,"Kavundampalayam, Coimbatore, Tamil Nadu",,"₹8,988.69 - ₹15,200.09","Job Types: Full-time, Fresher, Internship.
Total work: 1 year (Preferred)."
Business Administrator,Thermo Logic Asia Trading Private Limited,"Vasai, Maharashtra",Full-time ,,"Provides high-level administrative support to an assigned executive or director-level employee.
Prolonged periods sitting at a desk and working on a computer."
Executive Assistant/Recruiter,Agnos,Remote,,"₹20,000 - ₹25,000","Support the CEO primarily and provide additional support to the team members, as directed, to ensure that company goals and objectives are accomplished and that…"
Executive,Larsen & Toubro,"Powai, Mumbai, Maharashtra",Full-time,,"This includes designing interactive and visually compelling dashboards, performing in-depth data analyses, and creating reports that translate complex datasets…"
Godown Incharge,Shri Anandeshwari Home Pvt. Ltd.,"Bijapur, Karnataka",,,"Coordination with Sales & Logistics to ensure timely delivery of Cement.
Daily Reports in Excel Sheet.
Depots Visits as per Visit Plan shared by Head Office."
MEP Storekeeper,Pieco India Engg. co. pvt ltd.,"Vrindavan, Uttar Pradesh",,"From ₹15,000","Implement and maintain an effective material tracking and categorization system.
Ensure that all materials are stored in compliance with safety regulations and…"
E-commerce Associate,Wellversed,"Gurugram, Haryana",Full-time ,,"Monitor and evaluate implemented solutions to measure their impact and identify areas for further improvement.
Build strong relationships with key stakeholders."
Field Information Officer,Centre for Monitoring Indian Economy Pvt. Ltd,"Gangtok, Sikkim",,"₹22,000 - ₹27,000","Educational qualification- Any graduate or Post Graduate with minimum 3-4 years of survey experience.
Job Responsibility- The candidates will Responsible for…"
Home tuitions,Yukti Home Tutors,"Indore, Madhya Pradesh",,,"Must have a graduation degree.
We also offer test preparation services, especially to 10th & 12th students, so you must be able to work with older student on…"
Data Science AI-Intern,AS Global Soft Tech,"Kavundampalayam, Coimbatore, Tamil Nadu",,"₹2,40,000 - ₹6,00,000","Job Types: Full-time, Fresher, Internship.
Total work: 1 year (Preferred)."
Business Administrator,Thermo Logic Asia Trading Private Limited,"Vasai, Maharashtra",Full-time,,"Provides high-level administrative support to an assigned executive or director-level employee.
Prolonged periods sitting at a desk and working on a computer."
Executive Assistant/Recruiter,Agnos,Remote,,"₹8,988.69 - ₹15,200.09","Support the CEO primarily and provide additional support to the team members, as directed, to ensure that company goals and objectives are accomplished and that…"
International Customer Service Representative,Aiva Technologies,"Electronic City, Bengaluru, Karnataka",,"₹20,000 - ₹30,000"," Previous experience in a semi-voice process or customer service role is an advantage.
 Willingness to work in shifts aligned with Australian business hours."
Digital Marketing Intern,Rajkamal Barscan Systems Pvt Ltd,Remote,Full-time,,"For a candidate, who is well versed with skills, stipend range won't be an issue, we would gladly pay them on higher side of the scale."
Executive Assistant/Recruiter,Agnos,Remote,Full-time,,"Support the CEO primarily and provide additional support to the team members, as directed, to ensure that company goals and objectives are accomplished and that…"
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",,"₹8,988.69 - ₹15,200.09",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
"Virtual Customer Support Associate - Andhra Pradesh,India",Amazon.com,"Remote in Visakhapatnam, Andhra Pradesh",Full-time,,"In order to match our customer demand, we schedule based on a variety of different shift patterns within the operating hours of 6 am and 11 pm Sunday to Monday."
International Customer Service Representative,Aiva Technologies,"Electronic City, Bengaluru, Karnataka",,," Previous experience in a semi-voice process or customer service role is an advantage.
 Willingness to work in shifts aligned with Australian business hours."
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹8,988.69 - ₹15,200.09","COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
Data Science AI-Intern,AS Global Soft Tech,"Kavundampalayam, Coimbatore, Tamil Nadu",Full-time ,,"Job Types: Full-time, Fresher, Internship.
Total work: 1 year (Preferred)."
Client Support Intern,Morelife Technologies Private Limited,Remote,Full-time,,"Work schedule: Monday to Friday – 11 am to 9 pm and Saturday 11 am to 5 pm.
Attention to detail, one that ensures accuracy and manages the datasheets in an…"
"Virtual Customer Support Associate - Andhra Pradesh,India",Amazon.com,"Remote in Visakhapatnam, Andhra Pradesh",,,"In order to match our customer demand, we schedule based on a variety of different shift patterns within the operating hours of 6 am and 11 pm Sunday to Monday."
Executive Assistant/Recruiter,Agnos,Remote,Full-time ,,"Support the CEO primarily and provide additional support to the team members, as directed, to ensure that company goals and objectives are accomplished and that…"
Executive,Larsen & Toubro,"Powai, Mumbai, Maharashtra",,"₹20,000 - ₹25,000","This includes designing interactive and visually compelling dashboards, performing in-depth data analyses, and creating reports that translate complex datasets…"
Data Analytics Fresher,RP2,"Kochi, Kerala",,"From ₹15,000",This is an excellent opportunity for recent graduates to kick-start their careers in data analytics by working on real-world projects and learning from…
Godown Incharge,Shri Anandeshwari Home Pvt. Ltd.,"Bijapur, Karnataka",Full-time ,,"Coordination with Sales & Logistics to ensure timely delivery of Cement.
Daily Reports in Excel Sheet.
Pay: From ₹15,000.00 per month."
Field Information Officer,Centre for Monitoring Indian Economy Pvt. Ltd,"Gangtok, Sikkim",,,"Educational qualification- Any graduate or Post Graduate with minimum 3-4 years of survey experience.
Pay: ₹20,000.00 - ₹25,000.00 per month."
Data Science AI-Intern,AS Global Soft Tech,"Kavundampalayam, Coimbatore, Tamil Nadu",,"₹8,988.69 - ₹15,200.09",We are a team of creatives and dedicated workers with an objective to help our clients in reforming the quality of their Digital.
Business Administrator,Thermo Logic Asia Trading Private Limited,"Vasai, Maharashtra",Full-time ,,"Provides high-level administrative support to an assigned executive or director-level employee.
Pay: ₹50,000.00 - ₹65,000.00 per month."
Robot Operator,Traumvogel India Private Limited,"Vithlpura, Ahmedabad, Gujarat",Full-time,,"Qualification: 8 pass or 10 pass or 12 pass or ITI Any.
Facilities Available: Canteen, Bus, Room. ."
Customer Onboarding & Support Executive,eZee Technosys Pvt. Ltd.,"Majura Gate, Surat, Gujarat",,"₹20,000 - ₹30,000","Maintain policies and procedures when working with clients and provide appropriate information.
Pay: ₹20,000.00 - ₹30,000.00 per month."
Data Analytics Fresher,RP2,"Kochi, Kerala",Full-time,,This is an excellent opportunity for recent graduates to kick-start their careers in data analytics by working on real-world projects and learning from…
Godown Incharge,Shri Anandeshwari Home Pvt. Ltd.,"Bijapur, Karnataka",,,"Coordination with Sales & Logistics to ensure timely delivery of Cement.
Daily Reports in Excel Sheet.
Pay: From ₹15,000.00 per month."
MEP Storekeeper,Pieco India Engg. co. pvt ltd.,"Vrindavan, Uttar Pradesh",,"From ₹15,000","Implement and maintain an effective material tracking and categorization system.
Pay: ₹22,000.00 - ₹27,000.00 per month."
Field Information Officer,Centre for Monitoring Indian Economy Pvt. Ltd,"Gangtok, Sikkim",,"₹22,000 - ₹27,000","Educational qualification- Any graduate or Post Graduate with minimum 3-4 years of survey experience.
Pay: ₹20,000.00 - ₹25,000.00 per month."
Data Science AI-Intern,AS Global Soft Tech,"Kavundampalayam, Coimbatore, Tamil Nadu",,"₹2,40,000 - ₹6,00,000",We are a team of creatives and dedicated workers with an objective to help our clients in reforming the quality of their Digital.
Business Administrator,Thermo Logic Asia Trading Private Limited,"Vasai, Maharashtra",Full-time,,"Provides high-level administrative support to an assigned executive or director-level employee.
Pay: ₹50,000.00 - ₹65,000.00 per month."
Executive Assistant/Recruiter,Agnos,Remote,,"₹8,988.69 - ₹15,200.09",Our partnership with medical practices and other healthcare tech companies has helped raise the bar for product development and service delivery in an industry…
